iter	Passed	Remaining
0	233	23148
1	238	11701
2	243	7868
3	249	5985
4	254	4827
5	259	4059
6	263	3500
7	266	3064
8	270	2735
9	275	2478
10	279	2262
11	283	2081
12	288	1929
13	292	1796
14	296	1679
15	300	1577
16	304	1486
17	308	1404
18	312	1331
19	316	1265
20	320	1206
21	324	1151
22	328	1100
23	332	1053
24	336	1008
25	340	967
26	343	929
27	347	894
28	351	860
29	355	828
30	358	798
31	362	771
32	366	744
33	370	718
34	374	694
35	378	672
36	382	650
37	385	629
38	389	609
39	393	590
40	397	572
41	401	554
42	405	537
43	409	521
44	413	504
45	416	489
46	420	474
47	424	459
48	427	445
49	431	431
50	435	418
51	439	405
52	442	392
53	446	380
54	449	368
55	453	356
56	457	344
57	460	333
58	464	322
59	468	312
60	471	301
61	475	291
62	479	281
63	482	271
64	486	262
65	489	252
66	493	242
67	496	233
68	500	224
69	504	216
70	507	207
71	511	199
72	515	190
73	519	182
74	523	174
75	527	166
76	531	158
77	535	151
78	539	143
79	543	135
80	547	128
81	551	121
82	555	113
83	559	106
84	563	99
85	566	92
86	571	85
87	576	78
88	580	71
89	584	64
90	588	58
91	593	51
92	596	44
93	600	38
94	604	31
95	608	25
96	611	18
97	616	12
98	620	6
99	624	0
