iter	Passed	Remaining
0	170	16902
1	174	8572
2	178	5787
3	183	4404
4	188	3578
5	192	3020
6	197	2617
7	200	2300
8	204	2064
9	208	1873
10	212	1720
11	216	1587
12	226	1515
13	231	1422
14	236	1338
15	241	1265
16	244	1195
17	248	1130
18	252	1075
19	257	1029
20	261	984
21	266	946
22	271	908
23	275	872
24	279	838
25	284	809
26	288	781
27	293	755
28	299	732
29	303	707
30	307	684
31	315	670
32	321	653
33	326	634
34	331	615
35	335	596
36	339	578
37	343	560
38	347	544
39	351	527
40	356	513
41	362	500
42	367	487
43	374	476
44	380	465
45	385	453
46	391	441
47	396	429
48	401	417
49	408	408
50	413	396
51	418	386
52	427	379
53	432	368
54	439	359
55	444	348
56	448	338
57	455	329
58	460	320
59	465	310
60	473	302
61	481	294
62	488	286
63	492	276
64	497	267
65	501	258
66	505	249
67	509	239
68	514	231
69	517	221
70	521	213
71	528	205
72	535	197
73	539	189
74	544	181
75	548	173
76	553	165
77	558	157
78	563	149
79	567	141
80	575	135
81	579	127
82	584	119
83	589	112
84	594	104
85	598	97
86	602	89
87	606	82
88	611	75
89	615	68
90	619	61
91	624	54
92	629	47
93	633	40
94	637	33
95	641	26
96	645	19
97	649	13
98	654	6
99	659	0
